City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,pankovka,58.5,31.1999,280.43,91,100,1.81,RU,1699496587
103,yellowknife,62.456,-114.3525,265.44,93,75,1.54,CA,1699496310
104,lobujya,27.95,86.8167,264.39,27,4,0.8,NP,1699496603
105,albany,42.6001,-73.9662,275.66,64,100,0.71,US,1699496611
106,harper,4.375,-7.7169,298.52,87,47,2.84,LR,1699496619
107,port alfred,-33.5906,26.891,286.58,92,28,4.52,ZA,1699496629
108,presidencia de la plaza,-27.0015,-59.8424,300.04,58,3,2.45,AR,1699496639
109,vorkuta,67.5,64.0,272.18,99,100,1.98,RU,1699496649
110,lebu,-37.6167,-73.65,283.85,88,2,8.18,CL,1699496658
111,severo-yeniseyskiy,60.3725,93.0408,254.12,99,10,1.69,RU,1699496489
112,luderitz,-26.6481,15.1594,290.38,53,0,7.71,NA,1699496676
113,rurrenabaque,-14.4413,-67.5278,303.01,54,79,1.39,BO,1699496685
114,saint-pierre,-21.3393,55.4781,295.97,73,0,2.57,RE,1699496694
115,lazaro cardenas,17.9583,-102.2,300.13,81,14,2.3,MX,1699496504
116,elva,58.2225,26.4211,280.23,95,100,3.09,EE,1699496711
117,tamanrasset,22.785,5.5228,292.07,16,51,3.77,DZ,1699496721
118,inirida,3.8653,-67.9239,297.17,94,88,1.1,CO,1699496729
119,longyearbyen,78.2186,15.6401,270.06,80,75,6.69,SJ,1699496537
120,charlottetown,46.2352,-63.1267,274.69,87,100,7.72,CA,1699496701
121,ushuaia,-54.8,-68.3,272.83,96,63,2.24,AR,1699496754
122,prince george,53.9166,-122.753,275.16,96,0,2.57,CA,1699496586
123,enewetak,11.3474,162.3373,301.64,74,83,9.44,MH,1699496771
124,santa rosa,14.3122,121.1114,305.42,79,100,5.54,PH,1699496779
125,dawesville,30.9224,-84.0091,291.68,79,0,2.57,US,1699496788
126,puerto deseado,-47.7503,-65.8938,281.21,65,17,6.36,AR,1699496796
127,birao,10.2849,22.7882,297.59,60,96,1.71,CF,1699496805
128,seoni malwa,22.45,77.4667,294.17,52,63,1.65,IN,1699496813
129,urambo,-5.0667,32.05,293.6,83,54,1.57,TZ,1699496821
130,nadi,-17.8,177.4167,303.15,62,100,6.17,FJ,1699496698
131,buka,40.8108,69.1986,285.28,64,97,0.61,UZ,1699496564
132,iskateley,67.6803,53.1512,273.72,100,100,4.02,RU,1699496846
133,labytnangi,66.6572,66.4183,269.82,99,100,1.28,RU,1699496855
134,mejit,10.2753,170.8646,301.09,82,61,9.79,MH,1699496863
135,trincomalee,8.5711,81.2335,299.32,83,83,1.72,LK,1699496874
136,el higo,21.7667,-98.4667,296.83,84,19,3.45,MX,1699496882
137,los arabos,22.7281,-80.7214,296.08,85,54,3.98,CU,1699496891
138,lodja,-3.4833,23.4333,294.0,99,100,1.06,CD,1699496900
139,tolanaro,-25.0319,46.9987,296.19,88,75,5.14,MG,1699496908
140,guiratinga,-16.3494,-53.7583,300.7,53,89,2.47,BR,1699496917
141,spas-klepiki,55.1347,40.1767,278.11,95,100,1.31,RU,1699496925
142,badger,64.8,-147.5333,272.29,69,75,3.6,US,1699496933
143,jamestown,42.097,-79.2353,283.16,49,100,7.72,US,1699496642
144,suva,-18.1416,178.4415,298.86,83,75,4.63,FJ,1699496951
145,ansalta,42.6894,46.1178,280.22,56,98,3.05,RU,1699496960
146,athlone,53.4333,-7.95,279.58,88,100,6.08,IE,1699496968
147,chilca,-12.5211,-76.7372,291.76,87,91,2.95,PE,1699496976
148,kodiak,57.79,-152.4072,276.88,81,40,3.6,US,1699496986
149,salinopolis,-0.6136,-47.3561,299.73,80,89,3.4,BR,1699496995
150,santa cruz,-17.8,-63.1667,302.85,66,100,2.57,BO,1699497004
151,iqaluit,63.7506,-68.5145,266.0,73,75,7.2,CA,1699497016
152,ulsteinvik,62.3432,5.8487,280.24,69,100,3.58,NO,1699497025
153,kolonia town,6.964,158.206,303.21,79,100,4.12,FM,1699497035
